Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment
100,SVO ATIS,122.075000,,0.000000,,88.5,88.5,023,NN,AM,25.00,,Moscow airband AM (RX)
101,SVO ATIS2,125.125000,,0.000000,,88.5,88.5,023,NN,AM,25.00,,Moscow airband AM (RX)
102,SVO RAD,118.100000,,0.000000,,88.5,88.5,023,NN,AM,25.00,,Moscow airband AM (RX)
103,DME TWR,118.600000,,0.000000,,88.5,88.5,023,NN,AM,25.00,,Moscow airband AM (RX)
104,DME APP,120.600000,,0.000000,,88.5,88.5,023,NN,AM,25.00,,Moscow airband AM (RX)
105,DME ATIS,128.300000,,0.000000,,88.5,88.5,023,NN,AM,25.00,,Moscow airband AM (RX)
106,DME RAD,127.700000,,0.000000,,88.5,88.5,023,NN,AM,25.00,,Moscow airband AM (RX)
107,VKO TWR,118.300000,,0.000000,,88.5,88.5,023,NN,AM,25.00,,Moscow airband AM (RX)
108,VKO APP,122.300000,,0.000000,,88.5,88.5,023,NN,AM,25.00,,Moscow airband AM (RX)
109,VKO GND,120.450000,,0.000000,,88.5,88.5,023,NN,AM,25.00,,Moscow airband AM (RX)
110,VKO ATIS,125.875000,,0.000000,,88.5,88.5,023,NN,AM,25.00,,Moscow airband AM (RX)
111,AIR GUARD,121.500000,,0.000000,,88.5,88.5,023,NN,AM,25.00,,Moscow airband AM (RX)
